Not/NIV/V,Group,Airway,RR spont,VT,FiO2,Flow,Mode of Support,PEEP/EPAP,PS/IPAP,,,,,,,,,,
Not,SVRA,Own,Present,Absent,Absent,Absent,,absent,absent,,,,,,,,,,
Not,SV Fio2,Own,Present,Absent,Present,Absent,,absent,absent,,,,,,,,,,
Not,SV High Flow,Own,Present,Absent,Present,Present,,absent,absent,,,,,,,,,,
NIV,NIV,Own,Present,Present,Present,Absent,,present,present,,,,,,,,,,
Not,CPAP,Own,Present,Absent,present,absent,,present,absent,,,,,,,,,,
Not,SVRA,Neck,Present,Absent,Present,Absent,,absent,absent,,,,,,,,,,
Not,SV Fio2,Neck,Present,Absent,Present,Absent,,absent,absent,,,,,,,,,,
Not,SV High Flow,Neck,Present,Absent,Present,present,,absent,absent,,,,,,,,,,
Not,SV RA,Trache,Present,Absent,Present,absent,,absent,absent,,,,,,,,,,
Not,SV Fio2,Trache,Present,Absent,Present,absent,,absent,absent,,,,,,,,,,
Not,SV High Flow,Trache,Present,Absent,Present,present,,absent,absent,,,,,,,,,,
Not,CPAP,Trache,Present,Absent,present,absent,,present,absent,,,,,,,,,,
,,Trache,,,,,,,,,,,,,,,,,
IV,IV,Trache,Present,present,present,absent,,present,present,,,,,,,,,,
IV,IV,ETT,Present,present,present,absent,,present,present,,,,,,,,,,
,,Nasal,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Athena
,,,,,,,,,,,,,,,,,,,4183713